relation_type,from_id,to_id,properties
浏览,user_020,item_007,"{""browse_date"": ""2026-01-17"", ""browse_duration"": 108, ""item_name"": ""\u5965\u8feaA8""}"
浏览,user_020,item_003,"{""browse_date"": ""2026-01-14"", ""browse_duration"": 94, ""item_name"": ""\u5b9d\u9a6cX5""}"
浏览,user_020,item_016,"{""browse_date"": ""2026-01-29"", ""browse_duration"": 209, ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
曝光,user_020,item_002,"{""exposure_date"": ""2026-01-17"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6c5\u7cfb""}"
点击,user_020,item_016,"{""click_date"": ""2026-02-08"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
留资,user_020,item_003,"{""register_date"": ""2026-01-31"", ""register_channel"": ""4S\u5e97\u7559\u8d44"", ""item_name"": ""\u5b9d\u9a6cX5""}"
常驻POI,user_020,poi_002,"{""start_date"": ""2024-10-24"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_020,poi_006,"{""start_date"": ""2024-04-26"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_020,app_002,"{""usage_date"": ""2026-02-01"", ""usage_duration"": 1748, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_020,app_008,"{""usage_date"": ""2026-01-29"", ""usage_duration"": 3529, ""app_name"": ""\u4f18\u4fe1\u4e8c\u624b\u8f66""}"
拥有,user_021,item_016,"{""owned_date"": ""2025-04-23"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
浏览,user_021,item_003,"{""browse_date"": ""2026-02-04"", ""browse_duration"": 196, ""item_name"": ""\u5b9d\u9a6cX5""}"
浏览,user_021,item_019,"{""browse_date"": ""2026-01-28"", ""browse_duration"": 529, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_021,item_017,"{""click_date"": ""2026-02-12"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
搜索,user_021,item_012,"{""search_date"": ""2026-02-04"", ""search_keyword"": ""\u7279\u65af\u62c9Model X"", ""item_name"": ""\u7279\u65af\u62c9Model X""}"
常驻POI,user_021,poi_003,"{""start_date"": ""2024-02-11"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_021,poi_004,"{""start_date"": ""2025-01-17"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_021,poi_014,"{""visit_date"": ""2026-01-29"", ""visit_duration"": 119, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_021,app_003,"{""usage_date"": ""2026-01-20"", ""usage_duration"": 3016, ""app_name"": ""\u6613\u8f66""}"
使用,user_021,app_003,"{""usage_date"": ""2026-01-14"", ""usage_duration"": 2881, ""app_name"": ""\u6613\u8f66""}"
使用,user_021,app_007,"{""usage_date"": ""2026-01-17"", ""usage_duration"": 3590, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
浏览,user_022,item_019,"{""browse_date"": ""2026-01-28"", ""browse_duration"": 433, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_022,item_018,"{""browse_date"": ""2026-02-03"", ""browse_duration"": 445, ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
浏览,user_022,item_010,"{""browse_date"": ""2026-01-20"", ""browse_duration"": 309, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
比价过,user_022,item_013,"{""compare_date"": ""2026-02-03"", ""compared_items"": [""item_013"", ""item_002""]}"
常驻POI,user_022,poi_001,"{""start_date"": ""2024-03-15"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
使用,user_022,app_009,"{""usage_date"": ""2026-01-14"", ""usage_duration"": 3432, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
购买,user_023,item_005,"{""purchase_date"": ""2025-10-20"", ""purchase_amount"": 1295621, ""item_name"": ""\u5954\u9a70E\u7ea7""}"
浏览,user_023,item_001,"{""browse_date"": ""2026-02-07"", ""browse_duration"": 358, ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
搜索,user_023,item_001,"{""search_date"": ""2026-02-01"", ""search_keyword"": ""\u5b9d\u9a6c7\u7cfb"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
比价过,user_023,item_019,"{""compare_date"": ""2026-01-20"", ""compared_items"": [""item_019"", ""item_006""]}"
常驻POI,user_023,poi_003,"{""start_date"": ""2023-05-01"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_023,poi_006,"{""start_date"": ""2025-01-19"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_023,app_013,"{""usage_date"": ""2026-01-21"", ""usage_duration"": 2578, ""app_name"": ""\u4eca\u65e5\u5934\u6761""}"
使用,user_023,app_001,"{""usage_date"": ""2026-02-05"", ""usage_duration"": 2756, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
拥有,user_024,item_019,"{""owned_date"": ""2025-11-07"", ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_024,item_017,"{""browse_date"": ""2026-02-07"", ""browse_duration"": 205, ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
浏览,user_024,item_017,"{""browse_date"": ""2026-02-04"", ""browse_duration"": 505, ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
浏览,user_024,item_019,"{""browse_date"": ""2026-01-22"", ""browse_duration"": 247, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_024,item_014,"{""click_date"": ""2026-01-16"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
搜索,user_024,item_011,"{""search_date"": ""2026-02-06"", ""search_keyword"": ""\u7279\u65af\u62c9Model 3"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
常驻POI,user_024,poi_002,"{""start_date"": ""2023-07-17"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
使用,user_024,app_007,"{""usage_date"": ""2026-02-05"", ""usage_duration"": 2233, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
购买,user_025,item_019,"{""purchase_date"": ""2025-11-03"", ""purchase_amount"": 1355168, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_025,item_009,"{""browse_date"": ""2026-01-28"", ""browse_duration"": 444, ""item_name"": ""\u5965\u8feaQ7""}"
点击,user_025,item_003,"{""click_date"": ""2026-01-15"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5b9d\u9a6cX5""}"
搜索,user_025,item_003,"{""search_date"": ""2026-02-12"", ""search_keyword"": ""\u5b9d\u9a6cX5"", ""item_name"": ""\u5b9d\u9a6cX5""}"
常驻POI,user_025,poi_002,"{""start_date"": ""2024-12-07"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_025,poi_004,"{""start_date"": ""2024-06-01"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_025,poi_007,"{""visit_date"": ""2026-02-01"", ""visit_duration"": 76, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
使用,user_025,app_002,"{""usage_date"": ""2026-01-25"", ""usage_duration"": 2692, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_025,app_007,"{""usage_date"": ""2026-02-07"", ""usage_duration"": 3279, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
使用,user_025,app_010,"{""usage_date"": ""2026-01-28"", ""usage_duration"": 1212, ""app_name"": ""\u9ad8\u5fb7\u5730\u56fe""}"
浏览,user_026,item_015,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 214, ""item_name"": ""\u4fdd\u65f6\u6377911""}"
曝光,user_026,item_001,"{""exposure_date"": ""2026-02-02"", ""exposure_channel"": ""\u641c\u7d22\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
点击,user_026,item_014,"{""click_date"": ""2026-02-12"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
搜索,user_026,item_003,"{""search_date"": ""2026-02-03"", ""search_keyword"": ""\u5b9d\u9a6cX5"", ""item_name"": ""\u5b9d\u9a6cX5""}"
常驻POI,user_026,poi_001,"{""start_date"": ""2024-06-30"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_026,poi_006,"{""start_date"": ""2024-11-17"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_026,app_008,"{""usage_date"": ""2026-02-12"", ""usage_duration"": 3411, ""app_name"": ""\u4f18\u4fe1\u4e8c\u624b\u8f66""}"
拥有,user_027,item_015,"{""owned_date"": ""2025-05-03"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
浏览,user_027,item_014,"{""browse_date"": ""2026-01-15"", ""browse_duration"": 110, ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
点击,user_027,item_004,"{""click_date"": ""2026-02-07"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u5954\u9a70S\u7ea7""}"
留资,user_027,item_013,"{""register_date"": ""2026-01-14"", ""register_channel"": ""APP\u7559\u8d44"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
常驻POI,user_027,poi_002,"{""start_date"": ""2024-09-28"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_027,poi_004,"{""start_date"": ""2024-05-19"", ""poi_name"": ""\u56fd\u8d38CBD""}"
使用,user_027,app_008,"{""usage_date"": ""2026-01-18"", ""usage_duration"": 1606, ""app_name"": ""\u4f18\u4fe1\u4e8c\u624b\u8f66""}"
使用,user_027,app_009,"{""usage_date"": ""2026-01-16"", ""usage_duration"": 478, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_027,app_003,"{""usage_date"": ""2026-01-24"", ""usage_duration"": 883, ""app_name"": ""\u6613\u8f66""}"
曝光,user_028,item_014,"{""exposure_date"": ""2026-02-11"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
点击,user_028,item_007,"{""click_date"": ""2026-01-18"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5965\u8feaA8""}"
搜索,user_028,item_009,"{""search_date"": ""2026-02-06"", ""search_keyword"": ""\u5965\u8feaQ7"", ""item_name"": ""\u5965\u8feaQ7""}"
常驻POI,user_028,poi_003,"{""start_date"": ""2024-06-18"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_028,poi_006,"{""start_date"": ""2025-08-07"", ""poi_name"": ""\u91d1\u878d\u8857""}"
高频出现在POI,user_028,poi_008,"{""visit_date"": ""2026-02-06"", ""visit_duration"": 68, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
高频出现在POI,user_028,poi_008,"{""visit_date"": ""2026-01-26"", ""visit_duration"": 105, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
拥有,user_029,item_002,"{""owned_date"": ""2025-05-19"", ""item_name"": ""\u5b9d\u9a6c5\u7cfb""}"
浏览,user_029,item_019,"{""browse_date"": ""2026-01-20"", ""browse_duration"": 418, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
曝光,user_029,item_010,"{""exposure_date"": ""2026-02-08"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
常驻POI,user_029,poi_001,"{""start_date"": ""2024-06-15"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_029,poi_005,"{""start_date"": ""2024-10-27"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
使用,user_029,app_002,"{""usage_date"": ""2026-01-22"", ""usage_duration"": 748, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
比价过,user_030,item_019,"{""compare_date"": ""2026-02-11"", ""compared_items"": [""item_019"", ""item_011""]}"
常驻POI,user_030,poi_001,"{""start_date"": ""2024-08-11"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_030,poi_006,"{""start_date"": ""2025-03-30"", ""poi_name"": ""\u91d1\u878d\u8857""}"
高频出现在POI,user_030,poi_012,"{""visit_date"": ""2026-01-22"", ""visit_duration"": 102, ""poi_name"": ""\u4e09\u91cc\u5c6f""}"
使用,user_030,app_006,"{""usage_date"": ""2026-01-29"", ""usage_duration"": 3029, ""app_name"": ""\u5954\u9a70""}"
使用,user_030,app_009,"{""usage_date"": ""2026-01-15"", ""usage_duration"": 3207, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_030,app_010,"{""usage_date"": ""2026-01-17"", ""usage_duration"": 360, ""app_name"": ""\u9ad8\u5fb7\u5730\u56fe""}"
购买,user_031,item_003,"{""purchase_date"": ""2025-11-01"", ""purchase_amount"": 976264, ""item_name"": ""\u5b9d\u9a6cX5""}"
浏览,user_031,item_012,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 595, ""item_name"": ""\u7279\u65af\u62c9Model X""}"
浏览,user_031,item_019,"{""browse_date"": ""2026-02-05"", ""browse_duration"": 593, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_031,item_014,"{""click_date"": ""2026-01-24"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
搜索,user_031,item_005,"{""search_date"": ""2026-01-30"", ""search_keyword"": ""\u5954\u9a70E\u7ea7"", ""item_name"": ""\u5954\u9a70E\u7ea7""}"
常驻POI,user_031,poi_003,"{""start_date"": ""2024-05-09"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
高频出现在POI,user_031,poi_010,"{""visit_date"": ""2026-02-09"", ""visit_duration"": 44, ""poi_name"": ""\u4fdd\u65f6\u6377\u4e2d\u5fc3""}"
高频出现在POI,user_031,poi_007,"{""visit_date"": ""2026-02-12"", ""visit_duration"": 87, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
购买,user_032,item_013,"{""purchase_date"": ""2025-09-29"", ""purchase_amount"": 1069210, ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
浏览,user_032,item_001,"{""browse_date"": ""2026-01-25"", ""browse_duration"": 245, ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
浏览,user_032,item_007,"{""browse_date"": ""2026-02-02"", ""browse_duration"": 447, ""item_name"": ""\u5965\u8feaA8""}"
曝光,user_032,item_007,"{""exposure_date"": ""2026-01-17"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA8""}"
点击,user_032,item_001,"{""click_date"": ""2026-01-20"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
比价过,user_032,item_005,"{""compare_date"": ""2026-02-05"", ""compared_items"": [""item_005"", ""item_016""]}"
留资,user_032,item_003,"{""register_date"": ""2026-01-23"", ""register_channel"": ""4S\u5e97\u7559\u8d44"", ""item_name"": ""\u5b9d\u9a6cX5""}"
常驻POI,user_032,poi_003,"{""start_date"": ""2023-12-22"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_032,poi_005,"{""start_date"": ""2025-03-31"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_032,poi_008,"{""visit_date"": ""2026-01-17"", ""visit_duration"": 169, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
高频出现在POI,user_032,poi_014,"{""visit_date"": ""2026-01-14"", ""visit_duration"": 105, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_032,app_013,"{""usage_date"": ""2026-01-21"", ""usage_duration"": 327, ""app_name"": ""\u4eca\u65e5\u5934\u6761""}"
拥有,user_033,item_012,"{""owned_date"": ""2025-08-05"", ""item_name"": ""\u7279\u65af\u62c9Model X""}"
购买,user_033,item_018,"{""purchase_date"": ""2025-06-19"", ""purchase_amount"": 1367137, ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
曝光,user_033,item_005,"{""exposure_date"": ""2026-02-07"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u5954\u9a70E\u7ea7""}"
点击,user_033,item_020,"{""click_date"": ""2026-01-18"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
常驻POI,user_033,poi_001,"{""start_date"": ""2023-08-03"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_033,poi_005,"{""start_date"": ""2024-11-12"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_033,poi_008,"{""visit_date"": ""2026-01-27"", ""visit_duration"": 102, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
使用,user_033,app_001,"{""usage_date"": ""2026-01-22"", ""usage_duration"": 802, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
使用,user_033,app_003,"{""usage_date"": ""2026-01-21"", ""usage_duration"": 2110, ""app_name"": ""\u6613\u8f66""}"
浏览,user_034,item_018,"{""browse_date"": ""2026-01-30"", ""browse_duration"": 232, ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
浏览,user_034,item_014,"{""browse_date"": ""2026-01-17"", ""browse_duration"": 562, ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
曝光,user_034,item_019,"{""exposure_date"": ""2026-02-09"", ""exposure_channel"": ""\u641c\u7d22\u5e7f\u544a"", ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_034,item_001,"{""click_date"": ""2026-02-09"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
常驻POI,user_034,poi_003,"{""start_date"": ""2024-03-13"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_034,poi_005,"{""start_date"": ""2024-10-23"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
使用,user_034,app_002,"{""usage_date"": ""2026-02-07"", ""usage_duration"": 3148, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_034,app_009,"{""usage_date"": ""2026-01-18"", ""usage_duration"": 3036, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_034,app_004,"{""usage_date"": ""2026-02-02"", ""usage_duration"": 1104, ""app_name"": ""\u7279\u65af\u62c9""}"
浏览,user_035,item_005,"{""browse_date"": ""2026-02-01"", ""browse_duration"": 219, ""item_name"": ""\u5954\u9a70E\u7ea7""}"
搜索,user_035,item_016,"{""search_date"": ""2026-02-07"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afES"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
常驻POI,user_035,poi_002,"{""start_date"": ""2024-06-08"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
使用,user_035,app_002,"{""usage_date"": ""2026-02-06"", ""usage_duration"": 2567, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
曝光,user_036,item_012,"{""exposure_date"": ""2026-01-23"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model X""}"
点击,user_036,item_020,"{""click_date"": ""2026-02-04"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
常驻POI,user_036,poi_001,"{""start_date"": ""2024-03-30"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_036,poi_006,"{""start_date"": ""2024-05-16"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_036,app_002,"{""usage_date"": ""2026-01-17"", ""usage_duration"": 2534, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_036,app_011,"{""usage_date"": ""2026-01-28"", ""usage_duration"": 2905, ""app_name"": ""\u6296\u97f3""}"
使用,user_036,app_001,"{""usage_date"": ""2026-01-28"", ""usage_duration"": 3102, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
购买,user_037,item_009,"{""purchase_date"": ""2026-01-08"", ""purchase_amount"": 909147, ""item_name"": ""\u5965\u8feaQ7""}"
浏览,user_037,item_013,"{""browse_date"": ""2026-01-30"", ""browse_duration"": 100, ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
点击,user_037,item_015,"{""click_date"": ""2026-02-11"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
搜索,user_037,item_011,"{""search_date"": ""2026-01-19"", ""search_keyword"": ""\u7279\u65af\u62c9Model 3"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
常驻POI,user_037,poi_001,"{""start_date"": ""2023-10-09"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_037,poi_004,"{""start_date"": ""2024-04-12"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_037,poi_012,"{""visit_date"": ""2026-02-04"", ""visit_duration"": 72, ""poi_name"": ""\u4e09\u91cc\u5c6f""}"
高频出现在POI,user_037,poi_013,"{""visit_date"": ""2026-01-19"", ""visit_duration"": 71, ""poi_name"": ""\u897f\u5355""}"
使用,user_037,app_010,"{""usage_date"": ""2026-01-15"", ""usage_duration"": 2726, ""app_name"": ""\u9ad8\u5fb7\u5730\u56fe""}"
使用,user_037,app_007,"{""usage_date"": ""2026-02-07"", ""usage_duration"": 3075, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
浏览,user_038,item_006,"{""browse_date"": ""2026-01-28"", ""browse_duration"": 393, ""item_name"": ""\u5954\u9a70GLC""}"
点击,user_038,item_013,"{""click_date"": ""2026-01-15"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
搜索,user_038,item_020,"{""search_date"": ""2026-02-03"", ""search_keyword"": ""\u6c83\u5c14\u6c83XC90"", ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
留资,user_038,item_013,"{""register_date"": ""2026-02-06"", ""register_channel"": ""\u5b98\u7f51\u7559\u8d44"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
常驻POI,user_038,poi_003,"{""start_date"": ""2024-03-01"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_038,poi_005,"{""start_date"": ""2024-05-23"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_038,poi_008,"{""visit_date"": ""2026-01-30"", ""visit_duration"": 60, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
使用,user_038,app_013,"{""usage_date"": ""2026-01-17"", ""usage_duration"": 1165, ""app_name"": ""\u4eca\u65e5\u5934\u6761""}"
使用,user_038,app_002,"{""usage_date"": ""2026-02-05"", ""usage_duration"": 1092, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_038,app_001,"{""usage_date"": ""2026-02-02"", ""usage_duration"": 3279, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
拥有,user_039,item_004,"{""owned_date"": ""2025-05-08"", ""item_name"": ""\u5954\u9a70S\u7ea7""}"
浏览,user_039,item_014,"{""browse_date"": ""2026-02-05"", ""browse_duration"": 434, ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
浏览,user_039,item_009,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 132, ""item_name"": ""\u5965\u8feaQ7""}"
浏览,user_039,item_018,"{""browse_date"": ""2026-02-09"", ""browse_duration"": 348, ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
曝光,user_039,item_019,"{""exposure_date"": ""2026-01-27"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_039,item_009,"{""click_date"": ""2026-02-07"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaQ7""}"
搜索,user_039,item_013,"{""search_date"": ""2026-01-24"", ""search_keyword"": ""\u4fdd\u65f6\u6377Panamera"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
常驻POI,user_039,poi_003,"{""start_date"": ""2023-08-17"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_039,poi_005,"{""start_date"": ""2025-08-02"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
使用,user_039,app_004,"{""usage_date"": ""2026-01-26"", ""usage_duration"": 2016, ""app_name"": ""\u7279\u65af\u62c9""}"
使用,user_039,app_007,"{""usage_date"": ""2026-01-16"", ""usage_duration"": 387, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
拥有,user_040,item_002,"{""owned_date"": ""2025-06-26"", ""item_name"": ""\u5b9d\u9a6c5\u7cfb""}"
浏览,user_040,item_009,"{""browse_date"": ""2026-01-19"", ""browse_duration"": 521, ""item_name"": ""\u5965\u8feaQ7""}"
浏览,user_040,item_011,"{""browse_date"": ""2026-01-26"", ""browse_duration"": 255, ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
浏览,user_040,item_004,"{""browse_date"": ""2026-01-14"", ""browse_duration"": 308, ""item_name"": ""\u5954\u9a70S\u7ea7""}"
点击,user_040,item_010,"{""click_date"": ""2026-01-20"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
搜索,user_040,item_005,"{""search_date"": ""2026-02-07"", ""search_keyword"": ""\u5954\u9a70E\u7ea7"", ""item_name"": ""\u5954\u9a70E\u7ea7""}"
常驻POI,user_040,poi_003,"{""start_date"": ""2023-04-17"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_040,poi_004,"{""start_date"": ""2024-04-09"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_040,poi_011,"{""visit_date"": ""2026-01-21"", ""visit_duration"": 122, ""poi_name"": ""\u5965\u8fea\u5c55\u5385""}"
使用,user_040,app_008,"{""usage_date"": ""2026-01-24"", ""usage_duration"": 3345, ""app_name"": ""\u4f18\u4fe1\u4e8c\u624b\u8f66""}"
拥有,user_041,item_013,"{""owned_date"": ""2025-03-14"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
搜索,user_041,item_007,"{""search_date"": ""2026-02-02"", ""search_keyword"": ""\u5965\u8feaA8"", ""item_name"": ""\u5965\u8feaA8""}"
留资,user_041,item_011,"{""register_date"": ""2026-01-24"", ""register_channel"": ""\u5b98\u7f51\u7559\u8d44"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
常驻POI,user_041,poi_002,"{""start_date"": ""2023-09-20"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
